,incident_date,state,city_or_county,address,killed,injured
690,June 26 2022,Georgia,Blakely,N Church St and Washington Ave,1,6.0
691,June 26 2022,Virginia,Sutherlin,1220 Kerns Church Rd,1,7.0
692,June 26 2022,New Jersey,Paterson,Madison St and Essex St,0,5.0
694,June 26 2022,Texas,Winona,18005 FM 2767,0,5.0
695,June 26 2022,Washington,Tacoma,5415 S Tacoma Way,0,8.0
696,June 25 2022,New York,Brooklyn,690 Quincy St,0,4.0
697,June 25 2022,Texas,Houston,4207 Madden St,2,2.0
698,June 25 2022,Minnesota,Minneapolis,SE Main St and 6th Ave SE,0,4.0
701,June 23 2022,Illinois,Chicago,7900 block of S Lafayette Ave,1,3.0
703,June 20 2022,New York,Staten Island,Taft Ave and Westervelt Ave,0,5.0
707,June 19 2022,Florida,Miami,US-1 and SW 22nd Ave,0,5.0
709,June 18 2022,Florida,Pensacola,15 E Intendencia St,0,5.0
710,June 18 2022,Texas,San Antonio,2500 block of Patron Dr,2,5.0
711,June 17 2022,Maryland,Baltimore,1800 block of W Lafayette Ave,0,4.0
713,June 16 2022,California,Oakland,316 14th St,1,4.0
715,June 12 2022,Michigan,Roseville,27000 block of Kelly St,0,4.0
718,June 12 2022,Louisiana,New Orleans,3940 Tulane Ave,0,4.0
720,June 11 2022,New Mexico,Alamogordo,,0,4.0
721,June 11 2022,Michigan,Detroit,13500 block of Cloverlawn Ave,0,4.0
722,June 11 2022,Illinois,Chicago,8600 block of S Damen Ave,1,4.0
723,June 11 2022,Georgia,Atlanta (College Park),6500 block of Woodford Rd,0,7.0
724,June 11 2022,Tennessee,Antioch,660 Bell Rd,2,2.0
728,June 8 2022,Arizona,Yuma,1500 block of S 4th Ave,0,4.0
731,June 7 2022,Maryland,Baltimore,5500 block of Plainfield Ave,2,2.0
733,June 5 2022,Michigan,Saginaw,300 block of S 11th St,3,1.0
734,June 5 2022,Arizona,Mesa,1457 W Southern Ave,2,2.0
736,June 5 2022,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3.0
737,June 5 2022,South Carolina,Andrews,3000 block of County Line Road,0,5.0
738,June 4 2022,Michigan,Ecorse,3800 block of W Jefferson Ave,0,4.0
740,June 4 2022,Texas,El Paso (Socorro),10851 Thunder Rd,0,5.0
741,June 4 2022,Pennsylvania,Philadelphia,200 block of South St,2,10.0
742,June 4 2022,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8.0
743,June 4 2022,South Carolina,Summerton,4193 St Paul Rd,1,7.0
744,June 4 2022,New York,Hempstead,77 Terrace Ave,1,3.0
745,June 3 2022,Virginia,Chester,10960 block of Stepney Rd,1,5.0
746,June 3 2022,Nebraska,Omaha,2931 T St,1,3.0
747,June 2 2022,Texas,Centerville,1696 TX-7 W,5,0.0
